Block Type,48well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\Dell\Desktop\David\2022-07-22_AML12_TNF-a_H_T_6A_MIF_Expression.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-07-22 14:37:03 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,stepone,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C?,C? Mean,C? SD,?C?,?C? Mean,?C? SE,HK Control ?C? Mean,HK Control ?C? SE,??C?,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,HIGHSD,NOAMP,EXPFAIL
A1,-LPS (Mock),TNF-a,UNKNOWN,FAM,NFQ-MGB,1,0.064729966,15.44879627,35.99664307,34.64533234,1.665666819,19.33882904,17.77992249,0.917904019,,,0,TRUE,0.289740989,TRUE,3,29,1,,Y,N,N
A1,-LPS (Mock),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.65781403,16.86540985,0.389608055,,,,,,,TRUE,0.036425661,TRUE,3,12,1,,Y,N,N
A2,-LPS (Mock),TNF-a,UNKNOWN,FAM,NFQ-MGB,1,0.064729966,15.44879627,32.78438568,34.64533234,1.665666819,16.16082573,17.77992249,0.917904019,,,0,TRUE,0.289740989,TRUE,3,26,1,,Y,N,N
A2,-LPS (Mock),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.62355995,16.86540985,0.389608055,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,Y,N,N
A3,-LPS (Mock),TNF-a,UNKNOWN,FAM,NFQ-MGB,1,0.064729966,15.44879627,35.15496826,34.64533234,1.665666819,17.84011269,17.77992249,0.917904019,,,0,TRUE,0.289740989,TRUE,3,28,1,,Y,N,N
A3,-LPS (Mock),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.31485558,16.86540985,0.389608055,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,Y,N,N
A4,+LPS (Mock),TNF-a,UNKNOWN,FAM,NFQ-MGB,212.7513733,178.134903,254.0947571,26.4711895,26.68388939,0.243801162,9.97873497,10.04689789,0.059544239,,,-7.733024597,TRUE,0.289740989,TRUE,3,20,1,,N,N,N
A4,+LPS (Mock),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.49245453,16.6369915,0.145995423,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
A5,+LPS (Mock),TNF-a,UNKNOWN,FAM,NFQ-MGB,212.7513733,178.134903,254.0947571,26.94995117,26.68388939,0.243801162,10.16554832,10.04689789,0.059544239,,,-7.733024597,TRUE,0.289740989,TRUE,3,21,1,,N,N,N
A5,+LPS (Mock),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.78440285,16.6369915,0.145995423,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,N,N,N
